geoext:constituentPartIdentifier,geoext:name,geoext:language,geoext:nameType,geoext:nameIdentifier,geoext:classificationCode,geoext:isPreferredName,geoext:namePublishedIn,geoext:nameRemarks
emu:/test/etaxonomy/1006044-0,Graphite,,,,,,,
emu:/test/etaxonomy/1006195-1,Gümbelite,,,,,,,
emu:/test/etaxonomy/1013019-2,Shungite,,,,,,,
emu:/test/etaxonomy/1006044-1,Graphite,,,,,,,
emu:/test/etaxonomy/1009083-0,Monticellite,,,,,,,
emu:/test/etaxonomy/1002812-0,Chalcanthite,,,,,,,
emu:/test/etaxonomy/1002148-1,Boothite(dehydrated),,,,,,,
emu:/test/etaxonomy/1006260-2,Halotrichite,,,,,,,
emu:/test/etaxonomy/1013999-0,Teineite,,,,,,,
emu:/test/etaxonomy/1015091-0,Wavellite,,,,,,,
emu:/test/etaxonomy/1001216-0,Apatite,,,,,,,
emu:/test/etaxonomy/1006449-0,Hewettite,,,,,,,
emu:/test/etaxonomy/1002341-1,Brookite,,,,,,,
emu:/test/etaxonomy/1012729-1,Schorlomite,,,,,,,
emu:/test/etaxonomy/1008852-2,Mica,,,,,,,
emu:/test/etaxonomy/1002433-0,Calaverite,,,,,,,
emu:/test/etaxonomy/1008823-0,Metatorbernite,,,,,,,
emu:/test/etaxonomy/1014266-1,Torbernite,,,,,,,
emu:/test/etaxonomy/1013354-0,Sodalite,,,,,,,
emu:/test/etaxonomy/1015551-0,Zircon,,,,,,,
emu:/test/etaxonomy/1011324-1,Pyrochlore,,,,,,,
emu:/test/etaxonomy/1005304-0,Garnierite,,,,,,,
emu:/test/etaxonomy/1014831-0,Variscite,,,,,,,
emu:/test/etaxonomy/1001115-1,Anhydrite,,,,,,,
emu:/test/etaxonomy/1000844-2,Quartz (var. amethyst),,,,,,,
emu:/test/etaxonomy/1006211-3,Gypsum,,,,,,,
emu:/test/etaxonomy/1001115-0,Anhydrite,,,,,,,
emu:/test/etaxonomy/1006211-1,Gypsum,,,,,,,
emu:/test/etaxonomy/1006531-0,Hornblende,,,,,,,
emu:/test/etaxonomy/1013170-0,Simpsonite,,,,,,,
emu:/test/etaxonomy/1002467-1,Calciosamarskite,,,,,,,
emu:/test/etaxonomy/1008587-0,Hematite (var. martite),,,,,,,
emu:/test/etaxonomy/1004148-0,Diopside,,,,,,,
emu:/test/etaxonomy/1001590-0,Bandylite,,,,,,,
emu:/test/etaxonomy/1004590-1,Eriochalcite,,,,,,,
